Date,Country,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Critical_Cases,Case_Fatality_Rate (%),Recovery_Rate (%)
2020-05-29,Italy,659379.0,6998.0,34274.0,479.0,26111.0,424470.0,4288.0,2.7424335192610028,9.80717666982407
,,12419.0,7182.0,4803.0,688.0,707756.0,58266.0,9834.0,7.273068963377433,0.19952280064845507
2020-09-29,Russia,557985.0,,17361.0,978.0,295434.0,117847.0,8116.0,3.2516415349255534,79.38830842137136
2020-08-14,South Africa,347076.0,1656.0,18201.0,459.0,751500.0,491917.0,522.0,0.5632967063057714,84.32990575912659
2020-03-15,South Africa,381856.0,4173.0,,264.0,,273250.0,,2.098707098511076,96.2181693231614
2020-03-15,Italy,497784.0,5441.0,14760.0,538.0,477388.0,21786.0,6459.0,4.08671775827084,21.838261145277915
,Brazil,619716.0,8998.0,10826.0,973.0,791269.0,450068.0,7086.0,7.412286200610425,73.3146467924249
2020-11-14,Germany,663333.0,3312.0,21285.0,385.0,11801.0,,1944.0,1.007036273123576,51.90644174311944
2020-08-15,Italy,763361.0,8645.0,46589.0,84.0,391486.0,,3571.0,8.129341249001598,32.84822051960747
2020-09-21,India,610937.0,2324.0,45775.0,707.0,154782.0,,1560.0,9.969510919624106,60.629101005902456
2020-01-29,Italy,384793.0,9639.0,48554.0,315.0,499989.0,207815.0,4747.0,7.882576431791254,54.81993935879655
2020-12-20,India,273280.0,5595.0,9140.0,242.0,621445.0,421931.0,7154.0,4.7373652002888145,29.229439927800303
2020-11-03,South Africa,,5984.0,6798.0,468.0,245907.0,185323.0,592.0,5.6816021084594635,26.84624621318017
2020-04-04,Russia,848934.0,2511.0,49625.0,,565204.0,462123.0,5327.0,0.06160508302674561,48.65802241472713
2020-03-24,Italy,,,567.0,341.0,586834.0,457722.0,755.0,2.0927383785539746,47.40365084860794
2020-03-25,India,809471.0,3454.0,11624.0,176.0,831906.0,359039.0,9491.0,8.989881314600455,30.205270316799638
2020-05-05,Italy,853152.0,2798.0,12215.0,129.0,780825.0,,496.0,0.21729402735185865,26.37311580403687
2020-07-20,,123168.0,4620.0,7966.0,656.0,880198.0,268988.0,2421.0,,95.43074091409699
2020-06-18,South Africa,612551.0,3255.0,40888.0,82.0,36388.0,239273.0,1598.0,1.132526081281674,86.23705047453804
2020-05-01,Italy,,1217.0,,359.0,,480534.0,4127.0,1.3307412995883428,81.67791054245338
2020-08-19,China,16911.0,1485.0,29753.0,87.0,357508.0,312008.0,7016.0,1.7534991085692242,21.42837686770066
2020-03-09,India,,5349.0,44104.0,531.0,74667.0,494976.0,5551.0,7.993853249551963,18.929103498580112
